root=bm001 (Кровати и матрасы)
tree_size=16
suspect_count=486

id=12094 | sku=90621444 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),bm002(Наматрасники и чехлы для матрасов),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12099 | sku=00620528 | primary=10680 (Комплекты постельного белья) | linked_to_bm001=true | linked_outside_tree=10680(Комплекты постельного белья),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12101 | sku=10595302 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12102 | sku=50356564 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12103 | sku=70442764 | primary=18890 (Наволочки) | linked_to_bm001=true | linked_outside_tree=18890(Наволочки),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12108 | sku=70621440 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),bm002(Наматрасники и чехлы для матрасов),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12109 | sku=70335542 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),bm002(Наматрасники и чехлы для матрасов),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12110 | sku=20595293 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12111 | sku=10342791 | primary=18890 (Наволочки) | linked_to_bm001=true | linked_outside_tree=18890(Наволочки),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12112 | sku=60594630 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12116 | sku=00442734 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12117 | sku=20595900 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12118 | sku=10554028 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12119 | sku=00573635 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12120 | sku=70595318 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12122 | sku=80335546 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12123 | sku=70575853 | primary=18890 (Наволочки) | linked_to_bm001=true | linked_outside_tree=18890(Наволочки),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12125 | sku=30337005 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12126 | sku=50464115 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12131 | sku=20621145 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12133 | sku=10621240 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12137 | sku=30621437 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12138 | sku=50621262 | primary=18890 (Наволочки) | linked_to_bm001=true | linked_outside_tree=18890(Наволочки),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12139 | sku=90576856 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12140 | sku=60572379 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),bc002(Товары для новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12141 | sku=10603241 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12144 | sku=00572377 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12145 | sku=40579517 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12146 | sku=80342721 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12149 | sku=20603250 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12150 | sku=70621143 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12152 | sku=60343665 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),bm002(Наматрасники и чехлы для матрасов),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12153 | sku=50621139 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),bm002(Наматрасники и чехлы для матрасов),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12154 | sku=20488943 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12155 | sku=20618044 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12156 | sku=00621250 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12157 | sku=30588584 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12158 | sku=80442730 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=tl001(Текстиль и ковры),tl004(Текстиль для спальни),10681(Простыни)
id=12159 | sku=30440173 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12160 | sku=10336988 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
